demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
heating,gain,internal_gains,phius_core_2024,kWh,3409.58865846,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,phius_core_2024,kWh,7383.04845968,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,phius_core_2024,kWh,887.934868362,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,phius_core_2024,kWh,3633.08466382,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,roofs,phius_core_2024,kWh,2042.89323005,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,phius_core_2024,kWh,2373.51101939,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,phius_core_2024,kWh,4429.95218845,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,phius_core_2024,kWh,976.060820887,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,phius_core_2024,kWh,3256.47972606,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,phius_core_2024,kWh,2773.69769929,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,phius_core_2024,kWh,1080.3405469,cooling_demand.north,North,414
cooling,gain,east,phius_core_2024,kWh,1280.58712803,cooling_demand.east,East,415
cooling,gain,south,phius_core_2024,kWh,2776.93718107,cooling_demand.south,South,416
cooling,gain,west,phius_core_2024,kWh,2044.50750573,cooling_demand.west,West,417
cooling,gain,horizontal,phius_core_2024,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,phius_core_2024,kWh,1507.66116592,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,phius_core_2024,kWh,3858.58798797,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,phius_core_2024,kWh,6746.21367629,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
